,code,update_time,last_price,prev_close_price,suspension,circular_market_val,total_market_val,wrt_maturity_date,wrt_end_trade,wrt_code,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,lot_size,net_profit,earning_per_share,outstanding_shares,net_asset_per_share,pe_ratio,pb_ratio,price_spread,name
297,SH.600881,2018-06-05 14:02:05,4.01,3.99,False,10425782405.369999,13028143487.88,,,,,,,,,,,100,854464273.644,0.263,2599945737,0.243032704,15.247,0.883,0.01,亚泰集团
303,SH.600888,2018-06-05 14:02:05,6.23,6.23,False,5193288339.820001,5193288339.820001,,,,,,,,,,,100,131707794.172,0.158,833593634,-0.137967296,39.43,1.498,0.01,新疆众和
306,SH.600892,2018-06-05 14:02:08,10.99,10.94,False,2765056876.68,6148511426.12,,,,,,,,,,,100,299313340.58,0.535,251597532,-0.761967296,20.542,3.11,0.01,大晟文化
308,SH.600891,2018-06-05 14:01:56,6.48,6.26,False,2488676730.48,4001956003.44,,,,,,,,,,,100,140809563.084,0.228,384055051,0.662032704,28.421,1.307,0.01,秋林集团
309,SH.600894,2018-06-05 14:02:08,6.99,7.0,False,6011028796.05,6011028796.05,,,,,,,,,,,100,321620138.73,0.374,859946895,-0.632934592,18.689,0.878,0.01,广日股份
311,SH.600898,2018-06-05 14:02:02,12.08,11.96,False,3050487745.6,3050487745.6,,,,,,,,,,,100,16919095.94,0.067,252523820,1.817,180.298,6.648,0.01,国美通讯
312,SH.600895,2018-06-05 14:02:08,12.82,12.76,False,19854200031.0,19854200031.0,,,,,,,,,,,100,476996381.4,0.308,1548689550,1.292032704,41.623,2.294,0.01,张江高科
314,SH.600706,2018-06-05 14:02:08,13.19,13.08,False,2346615423.25,2367732613.25,,,,,,,,,,,100,63366915.275,0.353,177908675,1.156032704,37.365,2.419,0.01,曲江文旅
316,SH.600702,2018-06-05 14:02:08,41.34,39.82,False,13943982000.000002,13943982000.000002,,,,,,,,,,,100,185515000.0,0.55,337300000,-0.979934592,75.163,5.432,0.01,舍得酒业
318,SH.600711,2018-06-05 14:02:08,10.03,9.97,False,15015434619.15,16817286777.46,,,,,,,,,,,100,670679432.8,0.4,1497052305,-0.608967296,25.075,2.721,0.01,盛屯矿业
319,SH.600897,2018-06-05 14:02:08,22.56,22.42,False,6718593600.0,6718593600.0,,,,,,,,,,,100,420805530.0,1.413,297810000,-1.068901888,15.966,1.909,0.01,厦门空港
321,SH.600708,2018-06-05 14:02:08,6.61,6.67,False,6536564797.070001,11331760669.16,,,,,,,,,,,100,2417213697.96,1.41,988890287,2.066032704,4.687,1.039,0.01,光明地产
323,SH.600717,2018-06-05 14:02:08,8.93,8.87,False,14955688241.6,14955688241.6,,,,,,,,,,,100,778767640.8,0.465,1674769120,0.842065408,19.204,0.946,0.01,天津港
324,SH.600718,2018-06-05 14:02:08,14.36,13.05,False,17757942682.6,17844856151.8,,,,,,,,,,,100,1058761660.26,0.852,1236625535,-1.385934592,16.854,1.993,0.01,东软集团
328,SH.600710,2018-06-05 14:02:02,5.36,5.36,False,3431922240.0,7004176966.240001,,,,,,,,,,,100,363276342.652,0.278,640284000,-1.188967296,19.28,1.725,0.01,苏美达
329,SH.600713,2018-06-05 14:02:08,5.34,5.32,False,4792252693.32,5562204042.96,,,,,,,,,,,100,245820253.584,0.236,897425598,-0.682967296,22.627,1.478,0.01,南京医药
330,SH.600715,2018-06-05 14:02:08,8.13,8.15,False,3646402560.0000005,15079958955.000002,,,,,,,,,,,100,296776560.0,0.16,448512000,-0.376967296,50.812,2.075,0.01,文投控股
332,SH.600727,2018-06-05 14:02:08,8.58,8.47,False,3010950288.06,3011465088.06,,,,,,,,,,,100,98276249.96,0.28,350926607,-0.916967296,30.642,2.539,0.01,鲁北化工
333,SH.600729,2018-06-05 14:02:08,37.87,37.47,False,15391370229.55,15395232969.55,,,,,,,,,,,100,763866985.735,1.879,406426465,0.685098112,20.154,2.79,0.01,重庆百货
335,SH.600720,2018-06-05 14:01:59,7.81,7.76,False,6061830585.469999,6062827102.42,,,,,,,,,,,100,556600132.194,0.717,776162687,-1.908934592,10.892,1.168,0.01,祁连山
336,SH.600723,2018-06-05 14:02:05,7.95,7.96,False,5231652954.3,5234340054.3,,,,,,,,,,,100,362124154.7,0.55,658069554,1.520032704,14.454,1.367,0.01,首商股份
338,SH.600728,2018-06-05 14:02:08,7.92,7.66,False,10917767044.8,12825172198.08,,,,,,,,,,,100,228326929.284,0.141,1378505940,2.0,56.17,3.96,0.01,佳都科技
339,SH.600730,2018-06-05 14:02:02,5.74,5.67,False,3367405451.48,3367405451.48,,,,,,,,,,,100,55732320.19,0.095,586656002,-0.845967296,60.421,1.664,0.01,中国高科
340,SH.600735,2018-06-05 14:02:05,11.0,11.13,False,4135915256.0,4135915256.0,,,,,,,,,,,100,72566513.128,0.193,375992296,-2.093967296,56.994,4.997,0.01,新华锦
341,SH.600737,2018-06-05 14:02:05,7.86,7.84,False,16127746578.300001,16127746578.300001,,,,,,,,,,,100,896669879.735,0.437,2051876155,-0.675967296,17.986,2.171,0.01,中粮糖业
342,SH.600731,2018-06-05 14:02:08,5.78,5.75,False,1888055016.26,2053187194.44,,,,,,,,,,,100,42271501.062,0.119,326653117,-1.413967296,48.571,2.006,0.01,湖南海利
343,SH.600738,2018-06-05 14:02:08,8.85,8.82,False,3258557494.95,6930394608.599999,,,,,,,,,,,100,183244332.024,0.234,368198587,-1.877967296,37.82,3.661,0.01,兰州民百
345,SH.600740,2018-06-05 14:02:08,11.04,11.15,False,7251433648.32,15811141343.999998,,,,,,,,,,,100,422489737.0,0.295,656832758,1.750032704,37.423,1.826,0.01,山西焦化
346,SH.600736,2018-06-05 14:02:08,6.6,6.61,False,7882333351.2,7882333351.2,,,,,,,,,,,100,641335304.484,0.537,1194292932,-0.735967296,12.29,1.854,0.01,苏州高新
349,SH.600742,2018-06-05 14:02:08,15.23,15.05,False,6443002764.0,6443002764.0,,,,,,,,,,,100,432353829.6,1.022,423046800,-1.832901888,14.902,1.378,0.01,一汽富维
352,SH.600743,2018-06-05 14:02:05,2.86,2.91,False,6709848499.639999,6709848499.639999,,,,,,,,,,,100,736675674.436,0.314,2346100874,-1.173967296,9.108,0.916,0.01,XD华远地
354,SH.600746,2018-06-05 14:01:53,6.21,6.18,False,1891944282.15,1902877216.92,,,,,,,,,,,100,24513716.16,0.08,304660915,1.635,77.625,3.798,0.01,江苏索普
356,SH.600756,2018-06-05 14:02:08,18.01,17.23,False,5837018541.530001,5837018541.530001,,,,,,,,,,,100,121212933.622,0.374,324098753,-1.885934592,48.155,2.686,0.01,浪潮软件
357,SH.600748,2018-06-05 14:02:08,5.56,5.52,False,7830604670.599999,10255769679.519999,,,,,,,,,,,100,883545625.268,0.479,1408382135,1.149032704,11.607,1.021,0.01,上实发展
359,SH.600755,2018-06-05 14:02:08,8.41,8.35,False,15274851859.56,15274851859.56,,,,,,,,,,,100,2006981130.18,1.105,1816272516,-2.045934592,7.61,1.285,0.01,厦门国贸
360,SH.600757,2018-06-05 14:02:05,6.36,6.33,False,7717841575.08,7718815736.280001,,,,,,,,,,,100,652943846.874,0.538,1213497103,0.866032704,11.821,1.232,0.01,长江传媒
362,SH.600761,2018-06-05 14:02:08,10.1,10.05,False,7475826100.2,7475826100.2,,,,,,,,,,,100,440407577.19,0.595,740180802,2.013032704,16.974,1.601,0.01,安徽合力
365,SH.600758,2018-06-05 14:02:02,5.11,5.08,False,3456104712.4100003,6803499657.85,,,,,,,,,,,100,182403024.095,0.137,676341431,-0.041967296,37.299,1.201,0.01,红阳能源
366,SH.600763,2018-06-05 14:02:08,47.0,45.18,False,15070080000.0,15070080000.0,,,,,,,,,,,100,235349760.0,0.734,320640000,-1.006967296,64.032,14.294,0.01,通策医疗
371,SH.600773,2018-06-05 14:02:08,9.19,9.14,False,6701473562.969999,7532682237.36,,,,,,,,,,,100,89343021.096,0.109,729213663,-0.350967296,84.311,2.33,0.01,西藏城投
372,SH.600774,2018-06-05 14:02:08,13.22,12.95,False,2997737203.82,3000252586.44,,,,,,,,,,,100,17474996.154,0.077,226757731,-0.905967296,171.688,3.9,0.01,DR汉商集
373,SH.600768,2018-06-05 14:02:08,11.21,11.15,False,1499306112.0,1499306112.0,,,,,,,,,,,100,73427212.8,0.549,133747200,0.968,20.418,11.58,0.01,宁波富邦
375,SH.600777,2018-06-05 14:02:08,2.58,2.57,False,6131649826.8,17545279228.5,,,,,,,,,,,100,428431236.975,0.063,2376608460,1.945,40.952,1.326,0.01,新潮能源
376,SH.600780,2018-06-05 14:02:08,4.11,4.07,False,4712125369.530001,4712125369.530001,,,,,,,,,,,100,173121880.973,0.151,1146502523,-0.019967296,27.218,0.961,0.01,通宝能源
378,SH.600781,2018-06-05 14:01:56,18.3,18.03,False,3249949411.2000003,11476982469.6,,,,,,,,,,,100,570086178.408,0.909,177592864,-0.963934592,20.132,2.399,0.01,辅仁药业
379,SH.600782,2018-06-05 14:02:08,5.59,5.63,False,15578749825.08,17824959870.64,,,,,,,,,,,100,3708484495.448,1.163,2786896212,0.163032704,4.806,1.253,0.01,新钢股份
380,SH.600783,2018-06-05 14:02:08,11.03,10.75,False,8210283012.82,8210283012.82,,,,,,,,,,,100,53593869.168,0.072,744359294,0.524032704,153.194,2.288,0.01,鲁信创投
382,SH.600785,2018-06-05 14:02:05,23.5,23.54,False,5302335080.0,5302335080.0,,,,,,,,,,,100,131994298.8,0.585,225631280,0.652065408,40.17,2.542,0.01,新华百货
385,SH.600791,2018-06-05 14:02:02,5.07,5.0,False,2293230438.7200003,2296101600.0,,,,,,,,,,,100,46193760.0,0.102,452313696,-0.724967296,49.705,1.42,0.01,京能置业
386,SH.600793,2018-06-05 14:01:44,19.25,19.18,False,2027025000.0,2027025000.0,,,,,,,,,,,100,143418600.0,1.362,105300000,1.4,14.133,13.75,0.01,宜宾纸业
387,SH.600789,2018-06-05 14:02:08,10.25,10.06,False,5961148618.75,6940272909.0,,,,,,,,,,,100,191619242.268,0.283,581575475,0.023032704,36.219,2.373,0.01,鲁抗医药
388,SH.600790,2018-06-05 14:02:08,5.99,5.71,False,6271491184.8,6271491184.8,,,,,,,,,,,100,382152634.8,0.365,1046993520,0.551032704,16.41,1.236,0.01,轻纺城
392,SH.600051,2018-06-05 14:02:02,7.27,7.24,False,2260097600.0,2260097600.0,,,,,,,,,,,100,475335520.0,1.529,310880000,-0.940934592,4.754,0.95,0.01,宁波联合
394,SH.600053,2018-06-05 14:02:08,20.1,19.88,False,8714170080.0,8714170080.0,,,,,,,,,,,100,315184161.6,0.727,433540800,0.365032704,27.647,4.313,0.01,九鼎投资
395,SH.600797,2018-06-05 14:02:08,11.42,11.34,False,9591699660.16,12059383485.32,,,,,,,,,,,100,329468270.352,0.312,839903648,-0.043967296,36.602,2.686,0.01,浙大网新
396,SH.600060,2018-06-05 14:02:08,14.78,14.65,False,19339352461.16,19339352461.16,,,,,,,,,,,100,956499773.282,0.731,1308481222,-2.086901888,20.218,1.368,0.01,海信电器
397,SH.600798,2018-06-05 14:02:08,4.57,4.56,False,4710988832.360001,4710988832.360001,,,,,,,,,,,100,150504238.408,0.146,1030850948,-1.524967296,31.301,1.649,0.01,宁波海运
398,SH.600069,2018-06-05 14:02:08,5.69,5.72,False,6105292542.030001,9239614572.36,,,,,,,,,,,100,89310861.42,0.055,1072986387,1.302,103.454,4.37,0.01,银鸽投资
399,SH.600064,2018-06-05 14:02:02,8.23,8.19,False,10171925188.24,10171925188.24,,,,,,,,,,,100,1029552087.704,0.833,1235956888,-0.064934592,9.879,0.965,0.01,南京高科
401,SH.600067,2018-06-05 14:02:08,4.86,4.88,False,7251658123.500001,7251658123.500001,,,,,,,,,,,100,270072041.225,0.181,1492110725,0.547032704,26.85,1.003,0.01,冠城大通
403,SH.600059,2018-06-05 14:02:11,9.22,9.01,False,7454592801.3,7454592801.3,,,,,,,,,,,100,181109412.96,0.224,808524165,0.725032704,41.16,1.836,0.01,古越龙山
404,SH.600055,2018-06-05 14:02:08,13.57,13.35,False,6579387360.0,7338875820.43,,,,,,,,,,,100,110326504.596,0.204,484848000,-0.877967296,66.519,3.971,0.01,万东医疗
406,SH.600077,2018-06-05 14:02:11,3.75,3.73,False,5025458722.5,5025458722.5,,,,,,,,,,,100,179576391.684,0.134,1340122326,-1.498967296,27.985,1.341,0.01,宋都股份
412,SH.600071,2018-06-05 14:02:05,15.51,15.65,False,3683197792.56,3683197792.56,,,,,,,,,,,100,36333285.768,0.153,237472456,1.774,101.372,8.742,0.01,凤凰光学
413,SH.600072,2018-06-05 14:02:05,10.73,10.6,False,6446356202.1,7899961244.59,,,,,,,,,,,100,38284993.916,0.052,600778770,0.681032704,206.346,2.156,0.01,中船科技
414,SH.600057,2018-06-05 14:02:05,8.88,8.89,False,12825262628.160002,12944724513.36,,,,,,,,,,,100,807587542.838,0.554,1444286332,1.964032704,16.028,1.418,0.01,厦门象屿
415,SH.600070,2018-06-05 14:01:44,8.83,8.83,False,3545404893.64,4608784221.94,,,,,,,,,,,100,131008475.618,0.251,401518108,0.336032704,35.179,1.906,0.01,浙江富润
416,SH.600079,2018-06-05 14:02:11,14.24,13.95,False,18313338642.88,19276749260.48,,,,,,,,,,,100,2048154608.926,1.513,1286049062,0.036065408,9.411,1.65,0.01,人福医药
417,SH.600083,2018-06-05 14:01:35,19.15,19.23,False,4366072192.9,4404500000.0,,,,,,,,,,,100,14950000.0,0.065,227993326,0.305,294.615,62.786,0.01,博信股份
419,SH.600080,2018-06-05 14:02:08,9.43,9.37,False,2878940072.96,3519938787.5499997,,,,,,,,,,,100,53750921.04,0.144,305295872,0.400032704,65.486,2.008,0.01,金花股份
420,SH.600088,2018-06-05 14:02:05,13.2,13.05,False,4374770400.0,4374770400.0,,,,,,,,,,,100,80866968.0,0.244,331422000,-0.929967296,54.098,3.922,0.01,中视传媒
421,SH.600090,2018-06-05 14:02:11,7.64,7.64,False,5368604919.559999,10999024899.8,,,,,,,,,,,100,516838997.255,0.359,702696979,-0.157967296,21.281,1.846,0.01,同济堂
422,SH.600075,2018-06-05 14:02:11,6.99,6.92,False,4292061312.0,6797931240.4800005,,,,,,,,,,,100,539749905.36,0.555,614028800,0.329032704,12.594,1.511,0.01,新疆天业
